source,invoice_date,provider,status,amount_usd,amount_nok_paid,invoice_url,matched_purchase_date,matched_posting_date,card_description,statement_invoice_number,source_pdf,recommended_booking,notes
Cursor,2025-06-02,Cursor,paid,101.19,1056.46,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TUVZTWTBERkcyRWlreG5DeW5WTkx6eGxXbGVmZ2QyLDE2NjAwNTIxMA0200YxcWFTP3?s=ap,2025-06-02,2025-06-03,CURSOR USAGE MID JUN CURSOR.COM,47000418010029334011,47000418010029334011.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-07-24,Cursor,paid,20.00,206.93,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TazBZSHBMazNBRG50WVRwdDVtU3gyQk12M2pobUdCLDE2NjAwNTIxMA0200lWHKqdWs?s=ap,2025-07-24,2025-07-25,"CURSOR, AI POWERED IDE CURSOR.COM",47000418010029334013,47000418010029334013.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-07-06,Cursor,paid,65.08,672.34,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TZDRhMW03Sk5Vc21xb3ZMeExaWjROcThxNFlFdkptLDE2NjAwNTIxMA0200k9J1wwcr?s=ap,2025-07-06,2025-07-07,CURSOR USAGE JUN CURSOR.COM,47000418010029334012,47000418010029334012.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-08-24,Cursor,paid,20.00,208.77,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TdmNYZUd5YlVhalloQ3pYNVhYZ3FhQUNBS3FaaWRNLDE2NjAwNTIxMA0200lakNt8sX?s=ap,2025-08-24,2025-08-25,"CURSOR, AI POWERED IDE CURSOR.COM",47000418010029334014,47000418010029334014.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-09-30,Cursor,paid,23.76,242.50,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UOVRnTHhmTVpmU0dwZlhZRjY0d0JFMXdMdGRCNXM4LDE2NjAwNTIxMA0200IXPZ7EP2?s=ap,2025-09-30,2025-10-01,CURSOR USAGE MID SEP CURSOR.COM,47000418010029334015,47000418010029334015.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-09-24,Cursor,paid,20.00,203.84,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UN0VYUFo3djhrS3R3a2FXSVVJcklpTXRreVozSVFlLDE2NjAwNTIxMA0200y4re5BlK?s=ap,2025-09-24,2025-09-25,"CURSOR, AI POWERED IDE CURSOR.COM",47000418010029334015,47000418010029334015.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-10-30,Cursor,paid,100.13,1024.94,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9US2lnMVlYcXVXVnF0YUdYSURlNUduVzRTenE0RnRGLDE2NjAwNTIxMA0200VtuoxOIh?s=ap,2025-10-30,2025-10-31,CURSOR USAGE MID OCT CURSOR.COM,47000418010029334016,47000418010029334016__1_.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-10-30,Cursor,paid,100.32,1026.88,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9US2RYY0lVSUpFTXJMZXpqTWYxNFRmaHo0WGtTR0t1LDE2NjAwNTIxMA0200k89rv6f3?s=ap,2025-10-30,2025-10-31,CURSOR USAGE MID OCT CURSOR.COM,47000418010029334016,47000418010029334016__1_.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-10-30,Cursor,paid,100.25,1026.16,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9US1lCWENCSURsQ2I2TWJpOGtuMkdYVHdTR1daVmw1LDE2NjAwNTIxMA02004CjfaDCF?s=ap,2025-10-30,2025-10-31,CURSOR USAGE MID OCT CURSOR.COM,47000418010029334016,47000418010029334016__1_.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-10-29,Cursor,paid,60.27,616.32,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9US0NLYUI3eWgzdVR1bXVVeDBLalpxS25zVVNrcjA1LDE2NjAwNTIxMA0200AZc0RAm4?s=ap,2025-10-29,2025-10-30,CURSOR USAGE OCT CURSOR.COM,47000418010029334016,47000418010029334016__1_.pdf,privat_utlegg,Exact kortmatch
