group_id,line_no,date,due_date,kind,identifier,supplier_name,supplier_org_number,currency,paid,payment_account,payment_date,payment_amount_nok,account,description,net_amount,vat_amount,vat_type,attachment_path,kid,project_id,notes
CURSOR-2025-05-30,1,2025-05-30,,supplier,,Cursor,,USD,true,,,,6540,Cursor Usage for May 2025 (Mid-Month Invoice),100.05,0.00,HIGH_FOREIGN_SERVICE_DEDUCTIBLE,,,,Kilde fra Cursor billing. Fakturalenke: https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TUFEyRnNydVVESHAxU0FrR2ZuVDZJU3pVb0dic0VyLDE2NjAwNTIxMA0200G7vhiyLF?s=ap. Konto og MVA-type er forelopig forslag og bor kvalitetssikres.
CURSOR-2025-05-31,1,2025-05-31,,supplier,,Cursor,,USD,true,,,,6540,Cursor Usage for May 2025 (Mid-Month Invoice),101.96,0.00,HIGH_FOREIGN_SERVICE_DEDUCTIBLE,,,,Kilde fra Cursor billing. Fakturalenke: https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TUFhyQVFKTEc1NjlVV3V6MmhZUXlabUN1M1lQbEZwLDE2NjAwNTIxMA020081eGujCd?s=ap. Konto og MVA-type er forelopig forslag og bor kvalitetssikres.
