draft_id,source,provider,date,amount_usd,pdf,status_code,attachment_location,ok
11862016152,Cursor,Cursor,2025-11-14,100.44,47000418010029334016__1_.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016152/attachments,yes
11862016155,Cursor,Cursor,2025-11-11,100.03,47000418010029334016__1_.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016155/attachments,yes
11862016158,Cursor,Cursor,2025-11-07,100.07,47000418010029334016__1_.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016158/attachments,yes
11862016159,Cursor,Cursor,2025-11-07,101.68,47000418010029334016__1_.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016159/attachments,yes
11862016160,Cursor,Cursor,2025-11-06,100.20,47000418010029334016__1_.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016160/attachments,yes
11862016162,Cursor,Cursor,2025-11-06,100.74,47000418010029334016__1_.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016162/attachments,yes
11862016165,Cursor,Cursor,2025-11-05,103.73,47000418010029334016__1_.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016165/attachments,yes
11862016169,Cursor,Cursor,2025-11-04,104.95,47000418010029334016__1_.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016169/attachments,yes
11862016173,Cursor,Cursor,2025-11-04,100.06,47000418010029334016__1_.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016173/attachments,yes
11862016174,Cursor,Cursor,2025-11-04,100.23,47000418010029334016__1_.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016174/attachments,yes
11862016175,Cursor,Cursor,2025-11-02,100.12,47000418010029334016__1_.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016175/attachments,yes
11862016184,Cursor,Cursor,2025-12-14,200.00,47000418010029334017.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016184/attachments,yes
11862016185,Cursor,Cursor,2025-12-12,100.42,47000418010029334017.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016185/attachments,yes
11862016187,Cursor,Cursor,2025-12-10,100.36,47000418010029334017.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016187/attachments,yes
11862016188,Cursor,Cursor,2025-12-09,101.45,47000418010029334017.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016188/attachments,yes
11862016191,Cursor,Cursor,2025-12-07,100.00,47000418010029334017.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016191/attachments,yes
11862016192,Cursor,Cursor,2025-12-03,102.16,47000418010029334017.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016192/attachments,yes
11862016197,Claude,Anthropic Claude,2025-08-05,25.00,47000418010029334013.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016197/attachments,yes
11862016198,Claude,Anthropic Claude,2025-09-05,25.00,47000418010029334014.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016198/attachments,yes
