source,provider,date,description,amount_usd,invoice_url,draft_location,status_code
Cursor,Cursor,2025-08-24,Cursor billing invoice,20.00,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TdmNYZUd5YlVhalloQ3pYNVhYZ3FhQUNBS3FaaWRNLDE2NjAwNTIxMA0200lakNt8sX?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016115,201
Cursor,Cursor,2025-09-30,Cursor Usage for September 2025 (Mid-Month Invoice),23.76,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UOVRnTHhmTVpmU0dwZlhZRjY0d0JFMXdMdGRCNXM4LDE2NjAwNTIxMA0200IXPZ7EP2?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016116,201
Cursor,Cursor,2025-09-24,Cursor billing invoice,20.00,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UN0VYUFo3djhrS3R3a2FXSVVJcklpTXRreVozSVFlLDE2NjAwNTIxMA0200y4re5BlK?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016118,201
Cursor,Cursor,2025-10-30,"Cursor Usage for cycle starting October 24, 2025 (Mid-Month Invoice)",100.13,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9US2lnMVlYcXVXVnF0YUdYSURlNUduVzRTenE0RnRGLDE2NjAwNTIxMA0200VtuoxOIh?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016119,201
Cursor,Cursor,2025-10-30,"Cursor Usage for cycle starting October 24, 2025 (Mid-Month Invoice)",100.32,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9US2RYY0lVSUpFTXJMZXpqTWYxNFRmaHo0WGtTR0t1LDE2NjAwNTIxMA0200k89rv6f3?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016120,201
Cursor,Cursor,2025-10-30,"Cursor Usage for cycle starting October 24, 2025 (Mid-Month Invoice)",100.25,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9US1lCWENCSURsQ2I2TWJpOGtuMkdYVHdTR1daVmw1LDE2NjAwNTIxMA02004CjfaDCF?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016121,201
Cursor,Cursor,2025-10-29,One-time Transitionary Invoice (2025-10-01 → 2025-10-24).,60.27,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9US0NLYUI3eWgzdVR1bXVVeDBLalpxS25zVVNrcjA1LDE2NjAwNTIxMA0200AZc0RAm4?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016122,201
Cursor,Cursor,2025-10-25,Cursor Usage for October 2025 (Mid-Month Invoice),101.75,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9USXN1dGlIRjVFVEQ5U3RlM1YxcXR5Y0hYQmNQRTNTLDE2NjAwNTIxMA0200StH9GcVa?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016123,201
Cursor,Cursor,2025-10-24,Cursor billing invoice,20.00,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9USVRKN05MeUt0RHlkY0ZUT0Z2dzdSNW9hVHdHRWJNLDE2NjAwNTIxMA0200iEu3s4RZ?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016127,201
Cursor,Cursor,2025-10-24,Cursor Usage for October 2025 (Mid-Month Invoice),80.41,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9USVJJNHZ1TFhvdlJUdmNNa05LZzBGb3JtTjZWbDVGLDE2NjAwNTIxMA0200UqLFO1VG?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016129,201
