draft_id,source,provider,date,amount_usd,update_status,create_status,purchase_location,ok,reason
11862016169,Cursor,Cursor,2025-11-04,104.95,201,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/11862078868,yes,
11862016173,Cursor,Cursor,2025-11-04,100.06,201,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/11862078870,yes,
11862016174,Cursor,Cursor,2025-11-04,100.23,201,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/11862078876,yes,
11862016175,Cursor,Cursor,2025-11-02,100.12,201,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/11862078880,yes,
11862016178,Cursor,Cursor,2025-12-28,101.42,201,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/11862078884,yes,
11862016179,Cursor,Cursor,2025-12-23,100.00,201,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/11862078889,yes,
11862016183,Cursor,Cursor,2025-12-16,95.61,201,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/11862078892,yes,
11862016184,Cursor,Cursor,2025-12-14,200.00,201,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/11862078897,yes,
11862016185,Cursor,Cursor,2025-12-12,100.42,201,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/11862078899,yes,
11862016187,Cursor,Cursor,2025-12-10,100.36,201,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/11862078903,yes,
11862016188,Cursor,Cursor,2025-12-09,101.45,201,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/11862078910,yes,
11862016191,Cursor,Cursor,2025-12-07,100.00,201,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/11862078914,yes,
11862016192,Cursor,Cursor,2025-12-03,102.16,201,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/11862078919,yes,
11862016194,Claude,Anthropic Claude,2025-01-22,20.00,201,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/11862078921,yes,
11862016197,Claude,Anthropic Claude,2025-08-05,25.00,201,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/11862078927,yes,
11862016198,Claude,Anthropic Claude,2025-09-05,25.00,201,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/11862078930,yes,
11862016199,Claude,Anthropic Claude,2025-12-28,25.00,201,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/11862078934,yes,
11862016201,Claude,Anthropic Claude,2025-12-29,62.50,201,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/11862078939,yes,
11862016202,Claude,Anthropic Claude,2025-12-30,187.50,201,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/11862078945,yes,
